loan_amount,repaid_amount,days,number_of_loans,Bucket
850,850,0,11,Active
1000,1000,0,11,Active
2550,4444,7,11,Active
1300,1300,0,11,Active
1850,1850,0,11,Active
1300,1300,0,11,Active
2550,2550,0,11,Active
365,365,0,3,Active
1050,1050,0,3,Active
3215,3215,0,24,Active
3236,3236,0,24,Active
5115,5115,0,24,Active
266,266,0,24,Active
4115,5903,7,24,Active
2115,2115,0,24,Active
2503,2503,0,24,Active
2115,2115,0,24,Active
2100,2100,0,24,Active
2115,2115,0,24,Active
4441,4441,0,24,Active
4115,4115,0,24,Active
4115,4115,0,24,Active
1982,1982,35,24,Default
3115,3115,0,24,Active
2930,2930,0,24,Active
2615,2615,0,24,Active
2600,2600,0,24,Active
2100,2100,0,24,Active
3600,3600,0,24,Active
2615,2615,0,24,Active
1118,1118,0,24,Active
2100,2100,0,24,Active
800,800,0,7,Active
2550,2550,0,7,Active
236,236,0,7,Active
2550,2550,0,7,Active
50,50,0,7,Active
2550,2550,0,7,Active
3615,3615,0,19,Active
2548,2548,0,19,Active
2503,2503,0,19,Active
5100,5100,0,19,Active
5115,5115,0,19,Active
3113,3113,0,19,Active
2957,2957,0,19,Active
3615,3615,0,19,Active
4615,9931,7,19,Active
4115,4115,0,19,Active
3100,8027,14,19,Active
5100,5100,0,19,Active
4600,4600,0,19,Active
5100,8110,7,19,Active
230,230,0,19,Active
100,100,0,19,Active
2500,2500,0,19,Active
4600,4600,0,19,Active
1100,1100,0,4,Active
1550,1550,0,4,Active
236,236,0,4,Active
3073,3073,0,13,Active
5115,7752,7,13,Active
4142,9339,42,13,Default
2615,2615,0,13,Active
2592,2592,0,13,Active
2250,4482,14,13,Active
2115,7990,14,13,Active
2100,2100,14,13,Active
3707,3707,0,13,Active
5115,5115,0,13,Active
2348,2348,0,13,Active
0,0,0,13,Active
3162,6918,14,8,Active
50,50,0,8,Active
1492,1492,0,8,Active
1165,1165,0,8,Active
3413,7395,7,8,Active
1550,1550,0,8,Active
236,236,0,8,Active
57,57,0,17,Active
0,0,0,17,Active
1050,1050,0,17,Active
2015,2015,0,17,Active
57,285,28,17,Active
1250,1250,0,17,Active
230,230,0,17,Active
103,103,0,17,Active
115,115,0,17,Active
427,427,0,17,Active
837,837,0,17,Active
3337,3823,49,17,Default
3050,3050,0,17,Active
115,115,0,17,Active
115,115,0,17,Active
288,288,0,17,Active
230,230,0,6,Active
2500,5050,21,6,Active
2615,2615,7,6,Active
2863,2863,0,6,Active
7736,7736,0,6,Active
4168,4168,0,6,Active
1057,1057,266,6,Write Off
0,580,42,6,Default
57,3419,14,6,Active
230,230,0,6,Active
365,0,35,1,Default
365,365,0,2,Active
1550,1550,0,10,Active
2050,2050,0,10,Active
1050,1050,0,10,Active
365,365,0,10,Active
2050,2050,0,10,Active
1000,1000,0,10,Active
1250,1250,0,10,Active
1000,1000,0,10,Active
2000,2000,0,10,Active
365,240,77,1,Default
236,236,0,4,Active
800,800,0,4,Active
50,50,0,4,Active
365,365,0,4,Active
1050,1050,0,4,Active
1300,1300,0,4,Active
230,230,0,8,Active
0,0,0,8,Active
100,100,0,8,Active
230,0,84,8,Default
100,100,0,8,Active
100,100,0,8,Active
472,472,0,8,Active
100,100,14,8,Active
3212,3212,0,10,Active
5041,5041,0,10,Active
5506,5506,0,10,Active
236,236,7,10,Active
177,177,0,10,Active
3600,3600,0,10,Active
5100,8293,7,10,Active
1600,1600,0,10,Active
4434,6309,7,10,Active
236,236,0,4,Active
651,651,133,4,Write Off
1245,6980,70,4,Default
365,365,0,2,Active
103,394,21,3,Active
365,810,49,3,Default
236,236,0,3,Active
1250,1250,210,3,Write Off
1300,1407,7,5,Active
450,651,21,5,Active
748,748,0,5,Active
365,365,0,5,Active
1200,1200,224,3,Write Off
236,236,0,3,Active
365,614,21,2,Active
3098,3098,0,8,Active
1230,1230,0,8,Active
4918,4918,0,8,Active
1713,1713,196,8,Write Off
5099,10931,21,8,Active
3792,3792,0,8,Active
4990,4990,0,8,Active
236,236,259,2,Write Off
365,365,7,2,Active
53,53,0,7,Active
1550,1550,0,7,Active
800,800,0,7,Active
36,0,14,7,Active
250,250,0,7,Active
36,36,0,7,Active
2050,4545,35,7,Default
365,365,0,4,Active
365,365,0,4,Active
660,660,0,4,Active
1533,1533,0,9,Active
1350,1350,7,9,Active
1000,1000,0,9,Active
1878,1878,0,9,Active
2425,3441,14,9,Active
365,365,0,9,Active
2270,2270,0,9,Active
1550,1720,21,9,Active
101,101,0,2,Active
365,263,0,2,Active
1240,1240,0,3,Active
1915,4969,357,3,Write Off
1000,1000,0,17,Active
3600,3600,0,17,Active
2565,2565,0,17,Active
1850,1850,0,17,Active
4265,4265,0,17,Active
1200,1200,0,17,Active
2781,3998,14,17,Active
2818,2818,0,17,Active
1537,1537,0,17,Active
1625,1625,0,17,Active
3850,3850,0,17,Active
230,230,0,17,Active
3600,3600,0,17,Active
1350,1350,0,17,Active
950,950,0,17,Active
0,0,0,17,Active
236,236,0,11,Active
59,59,0,11,Active
2550,2550,0,11,Active
150,2188,21,11,Active
2025,2025,0,11,Active
1850,1850,0,11,Active
361,361,0,11,Active
1050,1050,0,11,Active
2850,8276,28,11,Active
1383,1383,0,11,Active
365,365,0,4,Active
625,625,14,4,Active
365,365,0,4,Active
236,236,0,2,Active
236,236,0,8,Active
2550,2550,0,8,Active
1300,1300,0,8,Active
1000,1000,0,8,Active
2550,2550,0,8,Active
2150,2150,0,8,Active
2550,2550,0,8,Active
1319,1319,0,7,Active
2615,2615,0,7,Active
50,50,0,7,Active
2521,7705,84,7,Default
230,1983,35,7,Default
236,236,14,7,Active
365,365,0,2,Active
365,0,28,1,Active
257,257,0,7,Active
1050,1050,0,7,Active
365,0,7,7,Active
2250,3423,7,7,Active
1025,1025,0,7,Active
365,365,0,7,Active
1476,2893,7,7,Active
365,365,0,3,Active
1025,1025,0,3,Active
1238,1238,0,5,Active
701,701,7,5,Active
1472,1472,35,5,Default
365,365,7,5,Active
1855,5281,63,31,Default
2123,2123,0,31,Active
1620,1620,0,31,Active
2550,2550,0,31,Active
960,960,7,31,Active
2500,2500,7,31,Active
3118,3118,0,31,Active
2872,7943,14,31,Active
1550,1550,0,31,Active
4953,4953,0,31,Active
1141,1141,0,31,Active
2115,2115,0,31,Active
2550,2550,0,31,Active
5440,5440,0,31,Active
2550,2550,0,31,Active
2325,7064,7,31,Active
2000,2000,0,31,Active
3100,8307,21,31,Active
2115,5283,7,31,Active
2965,2965,0,31,Active
3685,3685,0,31,Active
1600,1600,0,31,Active
2931,2931,0,31,Active
5496,5496,0,31,Active
1061,1061,0,31,Active
1000,1749,7,31,Active
2050,2050,0,31,Active
2550,2550,0,31,Active
3000,3000,0,31,Active
4755,4755,0,31,Active
2230,2230,7,10,Active
1000,1000,7,10,Active
236,236,0,10,Active
1172,1172,0,10,Active
57,57,0,10,Active
3500,3500,0,10,Active
230,230,0,10,Active
1500,1500,7,10,Active
1736,1736,0,10,Active
365,0,7,2,Active
365,365,14,2,Active
2550,2550,0,11,Active
685,685,0,11,Active
1350,1350,0,11,Active
365,365,0,11,Active
1000,1000,0,11,Active
365,365,0,11,Active
1750,2495,7,11,Active
1804,1804,7,11,Active
3550,3550,0,11,Active
2025,2025,14,11,Active
2050,2050,28,3,Active
36,36,0,3,Active
36,36,0,3,Active
250,250,0,3,Active
1793,1793,0,7,Active
1216,1216,0,7,Active
2148,2148,0,7,Active
365,365,0,7,Active
695,695,0,7,Active
520,520,0,7,Active
1550,3208,14,7,Active
365,365,0,7,Active
1025,1025,0,7,Active
1550,1550,0,7,Active
1050,1050,0,7,Active
430,430,0,7,Active
0,0,0,18,Active
2293,2293,0,18,Active
57,57,0,18,Active
1115,1115,0,18,Active
2230,3449,28,18,Active
3345,3345,0,18,Active
3600,4178,7,18,Active
225,225,0,18,Active
185,185,0,18,Active
2068,2068,0,18,Active
4292,4292,0,18,Active
2721,4202,7,18,Active
1115,1115,14,18,Active
2354,2354,0,18,Active
937,937,0,18,Active
57,57,0,18,Active
57,57,0,18,Active
3944,3944,0,18,Active
1025,1025,0,4,Active
365,365,0,4,Active
1550,1684,7,4,Active
236,236,0,7,Active
1300,1300,0,7,Active
2150,3591,7,7,Active
1108,1108,0,7,Active
1000,1000,0,7,Active
1550,1550,0,7,Active
236,236,0,2,Active
1115,1115,0,12,Active
1216,1216,0,12,Active
230,230,0,12,Active
2050,2050,0,12,Active
2615,2615,0,12,Active
1618,1618,105,12,Write Off
1000,1000,0,12,Active
50,50,0,12,Active
1906,1906,0,12,Active
2550,2550,0,12,Active
1621,1621,0,12,Active
365,365,0,3,Active
365,365,0,3,Active
365,365,0,3,Active
1025,1025,0,3,Active
2504,3798,7,12,Active
1000,1000,0,12,Active
1350,1350,0,12,Active
1808,1808,0,12,Active
466,466,0,12,Active
2828,4910,21,12,Active
36,1632,7,12,Active
1300,1300,0,12,Active
1800,1800,0,12,Active
1750,1750,7,12,Active
1194,1194,0,12,Active
236,1227,161,2,Write Off
4100,4100,0,10,Active
236,236,0,10,Active
3622,3622,0,10,Active
50,50,0,10,Active
3537,3537,0,10,Active
1200,1200,0,10,Active
3800,3800,0,10,Active
3901,5328,14,10,Active
50,50,0,10,Active
4544,4544,0,16,Active
2615,2615,0,16,Active
4215,5715,7,16,Active
2095,2095,0,16,Active
2050,2050,126,16,Write Off
2500,2500,0,16,Active
230,230,0,16,Active
5115,5115,0,16,Active
1892,1892,0,16,Active
1550,1550,0,16,Active
4526,4526,0,16,Active
1000,1000,0,16,Active
5118,7783,70,16,Default
4529,7807,21,16,Active
300,300,0,16,Active
2776,2776,0,17,Active
230,230,0,17,Active
406,406,0,17,Active
3400,3400,0,17,Active
1280,1280,0,17,Active
400,400,0,17,Active
1662,3755,7,17,Active
1588,2008,7,17,Active
2615,3091,35,17,Default
1615,1615,0,17,Active
3600,7373,7,17,Active
3309,3309,0,17,Active
2615,2986,21,17,Active
2600,2600,0,17,Active
500,500,0,17,Active
3695,3695,0,17,Active
365,365,0,2,Active
615,615,0,27,Active
2500,2500,0,27,Active
57,57,0,27,Active
2534,5402,7,27,Active
675,675,0,27,Active
2230,2230,0,27,Active
2550,2550,0,27,Active
3988,3988,0,27,Active
2618,2618,0,27,Active
1400,1400,0,27,Active
3767,3767,0,27,Active
5532,9136,7,27,Active
5115,6160,7,27,Active
500,500,0,27,Active
3150,3150,0,27,Active
3229,3229,0,27,Active
5118,9390,7,27,Active
1927,3897,7,27,Active
4011,8618,7,27,Active
2412,2412,0,27,Active
6465,6465,0,27,Active
4615,4615,0,27,Active
2550,2550,0,27,Active
2050,2050,0,27,Active
1050,5534,14,27,Active
2350,2350,0,27,Active
1240,0,364,1,Write Off
365,365,0,4,Active
1000,1000,0,4,Active
1391,2532,14,4,Active
2748,2748,0,9,Active
5115,5115,0,9,Active
575,575,0,9,Active
4167,4167,0,9,Active
2615,6177,7,9,Active
5115,5115,0,9,Active
2755,7036,7,9,Active
2615,10301,266,9,Write Off
236,0,0,5,Active
236,236,7,5,Active
2004,2004,0,5,Active
1950,1950,0,5,Active
2550,3391,7,5,Active
365,365,0,2,Active
365,295,0,3,Active
69,69,0,3,Active
1025,1025,0,3,Active
2530,2530,0,20,Active
2480,2480,0,20,Active
5217,5217,0,20,Active
0,504,56,20,Default
2755,1000,0,20,Active
2250,2250,0,20,Active
1794,1794,0,20,Active
2220,2220,0,20,Active
1804,1804,0,20,Active
3127,3127,0,20,Active
1350,1350,0,20,Active
1750,1750,0,20,Active
2190,2190,0,20,Active
1250,1250,0,20,Active
1000,1000,0,20,Active
1799,5301,140,20,Write Off
1816,1816,0,20,Active
2625,2625,0,20,Active
1550,1550,0,20,Active
2060,2060,0,20,Active
2550,2550,0,9,Active
1428,1428,0,9,Active
1750,2778,14,9,Active
2550,2550,0,9,Active
1000,1000,0,9,Active
1470,2591,14,9,Active
2700,2700,0,9,Active
1521,1521,0,9,Active
1865,394,0,9,Active
236,0,14,2,Active
36,36,0,2,Active
1550,1550,0,11,Active
2550,2550,0,11,Active
2050,2050,0,11,Active
1050,1966,42,11,Default
2050,2050,0,11,Active
1025,1025,0,11,Active
236,236,0,11,Active
357,357,0,11,Active
2550,2550,7,11,Active
1100,1100,0,11,Active
1000,1000,0,4,Active
365,365,0,4,Active
1550,1986,14,4,Active
2615,2615,0,9,Active
0,0,0,9,Active
3824,5846,7,9,Active
2511,2511,0,9,Active
2085,4530,7,9,Active
230,230,0,9,Active
1115,1115,0,9,Active
57,57,0,9,Active
36,36,0,11,Active
2550,2550,0,11,Active
2500,2500,0,11,Active
2700,2700,0,11,Active
2370,2370,0,11,Active
2550,2550,0,11,Active
2550,2550,0,11,Active
2450,2450,0,11,Active
2050,2050,0,11,Active
2550,2550,0,11,Active
2500,2500,0,12,Active
2760,5701,21,12,Active
1550,1550,0,12,Active
857,857,0,12,Active
2375,2375,0,12,Active
2550,2550,0,12,Active
2550,2550,0,12,Active
2050,2050,0,12,Active
2550,2550,0,12,Active
365,365,0,12,Active
2500,2500,0,12,Active
236,236,0,4,Active
50,50,0,4,Active
800,800,0,4,Active
1550,2344,14,4,Active
365,365,0,4,Active
1000,1000,0,4,Active
365,1254,28,4,Active
1025,1025,0,4,Active
110,110,0,4,Active
1214,1214,0,4,Active
773,773,0,4,Active
365,591,14,4,Active
1025,1025,0,3,Active
182,182,0,3,Active
365,182,7,3,Active
2615,5850,280,5,Write Off
2615,2615,0,5,Active
230,7390,28,5,Active
798,798,0,5,Active
5794,5802,259,4,Write Off
1000,1000,7,4,Active
230,0,0,4,Active
230,230,0,4,Active
365,564,28,2,Active
50,50,0,4,Active
236,236,7,4,Active
0,0,42,4,Default
57,57,7,16,Active
100,100,0,16,Active
57,57,0,16,Active
57,57,0,16,Active
180,180,0,16,Active
100,100,0,16,Active
57,57,0,16,Active
57,57,0,16,Active
172,172,0,16,Active
230,230,0,16,Active
115,115,0,16,Active
1902,1902,0,16,Active
50,50,0,16,Active
26,26,0,16,Active
0,0,0,16,Active
365,0,14,3,Active
365,365,0,3,Active
1025,1025,0,3,Active
152,152,0,5,Active
57,57,0,5,Active
517,517,273,5,Write Off
230,77,21,5,Active
57,57,28,5,Active
850,850,0,13,Active
236,236,0,13,Active
737,737,0,13,Active
1050,3455,7,13,Active
1175,1175,0,13,Active
1325,1325,0,13,Active
1800,2421,7,13,Active
2550,2550,0,13,Active
2050,2050,0,13,Active
2444,2444,0,13,Active
1550,1550,0,13,Active
1000,1012,21,13,Active
1100,1100,0,3,Active
236,236,0,3,Active
2500,2592,14,10,Active
1858,1858,0,10,Active
1100,1338,21,10,Active
800,800,7,10,Active
1300,1300,0,10,Active
1957,3328,7,10,Active
236,236,0,10,Active
1311,1311,0,10,Active
1228,3669,28,10,Active
1025,1025,0,7,Active
1050,1050,0,7,Active
1150,1150,0,7,Active
1550,1550,0,7,Active
2050,3374,7,7,Active
365,365,0,7,Active
2550,2550,0,8,Active
1750,1750,21,8,Active
1000,1000,0,8,Active
2550,2550,0,8,Active
2525,2525,0,8,Active
1050,1050,0,8,Active
365,365,0,8,Active
2500,2500,0,19,Active
2600,2600,0,19,Active
2550,2550,0,19,Active
1000,1000,0,19,Active
1450,2494,7,19,Active
2550,2550,0,19,Active
1350,1350,0,19,Active
2550,2550,0,19,Active
236,236,7,19,Active
2300,2300,0,19,Active
2550,2583,7,19,Active
1006,1006,0,19,Active
1800,1800,21,19,Active
2550,3652,7,19,Active
2600,2600,0,19,Active
2550,2550,0,19,Active
2497,4877,14,19,Active
269,269,0,19,Active
1875,1875,0,7,Active
970,970,0,7,Active
365,365,0,7,Active
1535,1535,0,7,Active
541,541,0,7,Active
1183,1183,0,7,Active
